RaH,RaM,RaS,Dec sign,Dec deg,DecM,DecS,RA,DEC
1,34,52.47,,-1,4,37.9,01 34 52.47,-1 04 37.9
7,50,2.47,,21,15,21.3,07 50 02.47,+21 15 21.3
8,22,33.87,,17,0,16.5,08 22 33.87,+17 00 16.5
8,30,51.71,,36,12,55.5,08 30 51.71,+36 12 55.5
8,35,26.17,,39,29,14.6,08 35 26.17,+39 29 14.6
8,43,58.5,,6,0,38.6,08 43 58.5,+6 00 38.6
8,46,48.89,,30,28,1.8,08 46 48.89,+30 28 01.8
8,55,0.38,,35,41,7.5,08 55 00.38,+35 41 07.5
8,55,48.71,,36,36,1.4,08 55 48.71,+36 36 01.4
8,58,38.92,,9,19,57.7,08 58 38.92,+9 19 57.7
9,3,7.94,,8,42,43.1,09 03 07.94,+8 42 43.1
9,4,23.07,,46,38,18.6,09 04 23.07,+46 38 18.6
9,7,41.8,,46,20,35.1,09 07 41.8,+46 20 35.1
9,9,3.58,,19,41,43.6,09 09 03.58,+19 41 43.6
9,40,43.35,,39,40,35.2,09 40 43.35,+39 40 35.2
10,12,0.28,,20,46,11.6,10 12 00.28,+20 46 11.6
10,27,57.77,,34,1,46.8,10 27 57.77,+34 01 46.8
10,44,10.01,,30,1,42.3,10 44 10.01,+30 01 42.3
10,46,57.93,,-1,37,46.4,10 46 57.93,-1 37 46.4
11,11,47.19,,27,25,16.7,11 11 47.19,+27 25 16.7
11,19,29.2,,67,21,4.1,11 19 29.2,+67 21 04.1
12,27,41.9,,25,12,59.6,12 27 41.9,+25 12 59.6
13,51,28.49,,55,6,56.9,13 51 28.49,+55 06 56.9
14,34,33.99,,38,41,3.4,14 34 33.99,+38 41 03.4
15,20,29.33,,14,34,37.0,15 20 29.33,+14 34 37.0
15,25,35.9,,43,15,45.2,15 25 35.9,+43 15 45.2
16,5,19.49,,3,5,34.2,16 05 19.49,+3 05 34.2
16,40,8.58,,11,3,22.7,16 40 08.58,+11 03 22.7
16,57,39.57,,39,39,48.0,16 57 39.57,+39 39 48.0
1,4,48.47,,15,35,1.9,01 04 48.47,+15 35 01.9
2,5,33.75,,12,38,24.1,02 05 33.75,+12 38 24.1
2,12,58.07,,6,41,17.6,02 12 58.07,+6 41 17.6
8,58,33.76,,2,4,52.9,08 58 33.76,+2 04 52.9
9,32,44.46,,1,12,59.9,09 32 44.46,+1 12 59.9
9,49,5.26,,2,32,50.7,09 49 05.26,+2 32 50.7
10,36,58.9,,3,36,23.2,10 36 58.9,+3 36 23.2
11,40,1.19,,0,37,4.0,11 40 01.19,0 37 04.0
14,30,13.2,,1,20,19.1,14 30 13.2,+1 20 19.1
14,41,28.38,,0,31,21.5,14 41 28.38,0 31 21.5
14,57,43.44,,1,27,47.4,14 57 43.44,+1 27 47.4
15,41,28.39,,4,10,4.6,15 41 28.39,+4 10 04.6
15,48,28.37,,0,18,10.4,15 48 28.37,0 18 10.4
7,40,13.59,,24,29,45.1,07 40 13.59,+24 29 45.1
8,6,5.53,,29,28,0.9,08 06 05.53,+29 28 00.9
8,26,50.57,,28,52,53.4,08 26 50.57,+28 52 53.4
9,45,3.44,,10,36,0.3,09 45 03.44,+10 36 00.3
10,32,18.45,,1,15,56.5,10 32 18.45,+1 15 56.5
10,33,18.01,,5,30,54.9,10 33 18.01,+5 30 54.9
10,37,35.78,,11,32,49.8,10 37 35.78,+11 32 49.8
10,42,6.18,,9,23,19.9,10 42 06.18,+9 23 19.9
10,44,51.52,,-1,46,34.1,10 44 51.52,-1 46 34.1
10,50,12.58,,8,51,22.6,10 50 12.58,+8 51 22.6
10,57,3.59,,6,48,50.4,10 57 03.59,+6 48 50.4
11,0,17.82,,1,12,18.7,11 00 17.82,+1 12 18.7
11,4,21.86,,5,37,24.0,11 04 21.86,+5 37 24.0
11,13,58.73,,3,11,37.7,11 13 58.73,+3 11 37.7
11,38,44.65,,6,54,10.0,11 38 44.65,+6 54 10.0
11,43,28.18,,11,22,21.9,11 43 28.18,+11 22 21.9
12,49,4.39,,10,4,13.5,12 49 04.39,+10 04 13.5
12,51,34.45,,0,55,55.5,12 51 34.45,0 55 55.5
13,18,22.81,,-1,11,50.2,13 18 22.81,-1 11 50.2
13,45,55.25,,2,22,49.4,13 45 55.25,+2 22 49.4
14,14,5.74,,-1,42,2.7,14 14 05.74,-1 42 02.7
15,12,17.83,,-1,12,35.4,15 12 17.83,-1 12 35.4
15,24,34.64,,0,20,58.0,15 24 34.64,0 20 58.0
15,25,39.97,,0,24,10.0,15 25 39.97,0 24 10.0
15,36,47.08,,2,55,1.6,15 36 47.08,+2 55 01.6
15,41,43.81,,1,26,31.4,15 41 43.81,+1 26 31.4
7,44,31.25,,28,39,16.6,07 44 31.25,+28 39 16.6
9,45,52.72,,0,34,32.4,09 45 52.72,0 34 32.4
10,0,40.68,,12,56,10.5,10 00 40.68,+12 56 10.5
10,16,26.29,,2,41,3.9,10 16 26.29,+2 41 03.9
10,18,24.97,,2,15,12.5,10 18 24.97,+2 15 12.5
10,29,35.81,,11,9,1.6,10 29 35.81,+11 09 01.6
10,43,9.04,,5,21,12.0,10 43 09.04,+5 21 12.0
10,47,53.45,,14,59,42.0,10 47 53.45,+14 59 42.0
10,51,2.31,,13,33,46.9,10 51 02.31,+13 33 46.9
10,53,9.9,,13,14,30.1,10 53 09.9,+13 14 30.1
11,6,51.29,,4,48,15.0,11 06 51.29,+4 48 15.0
11,14,47.27,,-1,57,23.4,11 14 47.27,-1 57 23.4
11,14,53.35,,12,29,18.8,11 14 53.35,+12 29 18.8
11,18,14.67,,9,41,12.1,11 18 14.67,+9 41 12.1
11,44,42.54,,15,51,5.9,11 44 42.54,+15 51 05.9
12,13,56.96,,-2,55,25.5,12 13 56.96,-2 55 25.5
12,18,12.86,,7,6,10.4,12 18 12.86,+7 06 10.4
12,44,10.11,,27,36,25.8,12 44 10.11,+27 36 25.8
12,55,51.65,,34,14,21.2,12 55 51.65,+34 14 21.2
12,59,30.64,,13,16,34.2,12 59 30.64,+13 16 34.2
13,6,15.21,,4,59,8.9,13 06 15.21,+4 59 08.9
13,9,59.6,,5,29,38.7,13 09 59.6,+5 29 38.7
13,10,38.46,,33,39,11.7,13 10 38.46,+33 39 11.7
13,20,12.19,,5,39,44.0,13 20 12.19,+5 39 44.0
13,27,37.53,,34,51,3.7,13 27 37.53,+34 51 03.7
13,27,41.76,,-1,29,15.8,13 27 41.76,-1 29 15.8
13,28,23.36,,30,21,44.9,13 28 23.36,+30 21 44.9
13,50,53.4,,23,50,24.3,13 50 53.4,+23 50 24.3
13,55,28.24,,6,51,14.6,13 55 28.24,+6 51 14.6
14,47,29.91,,-1,59,50.3,14 47 29.91,-1 59 50.3
15,32,41.87,,2,41,46.0,15 32 41.87,+2 41 46.0
20,58,19.76,,0,1,3.9,20 58 19.76,0 01 03.9
